_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
1442,270277605,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,HEREDEROS DE BONIFACIO CHELLE SL                  ,Anual,Abierta,CALLE                   ,PUERTO DE BALBARAN                                ,Acera
1443,280059176,PUENTE DE VALLECAS  ,NUMANCIA            ,CALLE                   ,Abierto,AL MAR,Anual,Abierta,CALLE                   ,PUERTO DEL REY                                    ,Acera
1444,280059442,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,CRUZ BLANCA,Anual,Abierta,CALLE                   ,LA REINA DE AFRICA                                ,Acera
1445,270321765,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,CALLE                   ,Abierto,CERVECER?A SORIA,Anual,Abierta,CALLE                   ,RINCON DE LA VICTORIA                             ,Acera
1446,130001391,PUENTE DE VALLECAS  ,NUMANCIA            ,CALLE                   ,Abierto,TABERNA BULGARA,Anual,Abierta,CALLE                   ,MANCO DE LEPANTO                                  ,Acera
1447,280058229,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,CALLE                   ,Abierto,CASA MAQUEDA,Anual,Abierta,CALLE                   ,RIOJANOS                                          ,Acera
1448,270033775,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,CALLE                   ,Abierto,BAR TOLEDANO,Anual,Abierta,CALLE                   ,SAN CLAUDIO                                       ,Acera
1451,270542736,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,DONER KEBAP,Anual,Abierta,CALLE                   ,SIERRA DE CADI                                    ,Acera
1452,280057247,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,BAR CERVECERIA LA ALEGRIA,Anual,Abierta,AVENIDA                 ,SAN DIEGO                                         ,Acera
1453,280057175,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,BAR EL PAISANO,Anual,Abierta,CALLE                   ,SERENA                                            ,Acera
1454,280017053,ARGANZUELA          ,ACACIAS             ,CALLE                   ,Abierto,CERVECERIA OJOS NEGROS,Anual,Abierta,CALLE                   ,LABRADOR                                          ,Acera
1456,280010131,CENTRO              ,JUSTICIA            ,CALLE                   ,Abierto,BURGUER KING,Anual,Abierta,PLAZA                   ,SANTA BARBARA                                     ,Plaza con bandas permanentes de circulaci? rodada
1457,10001701,CENTRO              ,SOL                 ,PLAZA                   ,Abierto,CORNER CAFE,Anual,Abierta,PLAZA                   ,SANTA CRUZ                                        ,Plaza peatonal
1458,270350667,CENTRO              ,SOL                 ,CALLE                   ,Abierto,KFC,Anual,Abierta,CALLE                   ,ARENAL                                            ,Calle peatonal
1460,270202624,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,CAFE DE SAN MILLAN,Anual,Abierta,CALLE                   ,TOLEDO                                            ,Acera
1461,10002114,CENTRO              ,PALACIO             ,CUESTA                  ,Abierto,EL MINIBAR,Anual,Abierta,CUESTA                  ,SANTO DOMINGO                                     ,Acera
1462,270532352,CENTRO              ,SOL                 ,PLAZA                   ,Abierto,FUENTE DE LA PROVINCIA,Anual,Abierta,PLAZA                   ,PROVINCIA                                         ,Plaza peatonal
1463,270359069,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,RESTAURANTE ACHURI,Anual,Abierta,CALLE                   ,ARGUMOSA                                          ,Acera
